_id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas
6319,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,14:06:00.000,ARRUDA,AV BEBERIBE,934,EM FRENTE A PIZZARIA DO CHICAO,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6320,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,14:31:00.000,BOA VIAGEM,RUA ANTONIO FALCAO,,"EM BAIXO DO VIADUTO DA ESTAÇÃO DE METRÔ ANTONIO FALCÃO, SENTIDO IMBIRIBEIRA.",COLISÃO,01 AMBULANCIA 01 CAMINHAO,2,,,,,,1,,,0
6321,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,14:37:00.000,BOA VISTA,RUA DAS NINFAS,255,EM FRENTE AO EMPRESARIAL PROGRESSO,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6322,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,14:41:00.000,PINA,AV HERCULANO BANDEIRA,825,EM FRENTE  A CAIXA ECONOMICA,COLISÃO,CAMINHÃO E AUTO,1,,,,,,1,,,0
6323,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,14:48:00.000,GRAÇAS,RUA DAS CREOULAS,,EM FRENTE AO HOSPITAL SANTA JOANA SENTIDO RUA DAS PERNAMBUCANAS,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
6324,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,15:44:00.000,AREIAS,RUA IPOJUCA,121,ENTRADA DA CARDEAL EM FRENTE DA AGENCIA DO INSS DA AV RECIFE,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6325,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,17:02:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,2716,EM FRENTE AO INTER HOTEL E AO GERALDAO SENTIDO CIDADE,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6326,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,17:07:00.000,TOTÓ,AV LIBERDADE,1690,EM FRENTE AO MERCADINHO BR,COLISÃO,DOIS AUTOS E ONIBUS,2,,,,,,1,,,0
6327,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,18:06:00.000,FUNDÃO,AV BEBERIBE,,NA ENTRAD DE CAJUEIRO E BAR DA FAVA,COLISÃO,DOIS ONIBUS,,,,,,2,,,,0
6328,SEM VÍTIMA,CANCELADA,2015-08-27T00:00:00,18:13:00.000,AFOGADOS,RUA VINTE E UM DE ABRIL,,AO LADO DA MASTERBOI,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6329,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,18:56:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,,NA PRAÇA DO MONTEIRO,COLISÃO,DOIS AUTO,2,,,,,,,,,0
6330,SEM VÍTIMA,CANCELADA,2015-08-27T00:00:00,18:56:00.000,MONTEIRO,AV DEZESSETE DE AGOSTO,,DE FRENTE SILVA JARDIM,COLISÃO,COLISÃO ENTRE MOTOCICLETA E AUTO,1,1,,,,,,,,0
6331,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,19:18:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,SETIDO RECIFE OLINDA ENFR AO POSTO DISLUB,COLISÃO,DOIS AUTO,2,,,,,,,,,0
6332,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,19:28:00.000,DERBY,RUA JOAQUIM NABUCO,,EM FRENTE A FARMACIA 4 CANTOS,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6333,COM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,22:16:00.000,CORDEIRO,RUA MARIA QUITERIA,140,PROX A DELEGACIA,COLISÃO,DUAS MOTOS,,2,,,,,,,,1
6334,SEM VÍTIMA,FINALIZADA,2015-08-27T00:00:00,22:21:00.000,GRAÇAS,AV GOVERNADOR AGAMENON MAGALHAES,,PROXIMO AO CLUBE PORTUGUES EM FRENTE MC DONALDS,COLISÃO,COLISÃO ENTRE UM ÔNIBUS E UM AUTO,1,,,,,1,,,,0
6335,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,02:15:00.000,GUABIRABA,AV PADRE MOSCA DE CARVALHO,,AO LADO DA SCHINCARIOL,COLISÃO,COLISAO SEM VITIMA ENTRE DOIS CAMINHÕES,,,,,,,2,,,0
6336,COM VÍTIMA,CANCELADA,2015-08-28T00:00:00,06:59:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE À VENEZA CAMINHÕES E A YAMASAKI,COLISÃO,COLISÃO ENVOLVENDO AUTO E MOTO COM LESÕES,1,1,,,,,,,,1
6337,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,07:25:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,1268,"EM FRENTE A IAMAZAKI MOTOS,SENT PRAZERES",COLISÃO,COLISÃO ENVOLVENDO AUTO E MOTO COM LESÕES,1,1,,,,,,,,0
6338,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,07:50:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4204,PROXIMO AO VIADUTO TANCREDO NEVES SENTIDO AEROPORTO (EM FRENTE A UPA),COLISÃO,COLISÃO ENTRE DOIS AUTOS SEM VITIMA,2,,,,,,,,,0
6339,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,07:53:00.000,CASA AMARELA,RUA PAULA BATISTA,,E/F AO BOMPREÇO,COLISÃO,MOTOX AUTO,1,1,,,,,,,,1
6340,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,08:00:00.000,MADALENA,RUA BENFICA,715,EM FRENTE AO EXTRA BENFICA,COLISÃO,"COLISÃO ENTRE UM AUTO E UMA MOTOCICLETA COM VÍTIMA, LOCAL DESCARACTERIZADO PELOS CONDUTORES",1,1,,,,,,,,1
6341,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,08:01:00.000,PINA,RUA TOME GIBSON,,EM CIMA DO VIADUTO DA VIA MANGUE SET/ BOA VIAGEM,COLISÃO,COL.S/V SET/BOA VIAGEM,2,,,,,,,,,0
6342,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,08:38:00.000,MADALENA,RUA LOPES DE CARVALHO,246,E/F A ELETRO ALVES,COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0
6343,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,08:54:00.000,AFOGADOS,RUA ARNALDO PIMENTEL,1165,EM FRENTE DA CLINICA JAYME CORDEIRO,COLISÃO,COL.S/V SETCD,1,1,,,,,,,,0
6344,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,09:18:00.000,IBURA,RUA PINTOR ANTONIO ALBUQUERQUE,,SEMAFORO 055,COLISÃO,COLISÃO SEM VITIMA,2,,,,,,,,,0
6345,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,09:48:00.000,SÃO JOSÉ,RUA IMPERADOR PEDRO SEGUNDO,289,EM FRENTE AO GABINETE PORTUGÊS DE LEITURA,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0
6346,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,09:48:00.000,MADALENA,AV VISCONDE DE ALBUQUERQUE,836,E/F A SUPERBIKE,COLISÃO,SEM VÍTIMAS,1,1,,,,,,,,0
6347,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,10:42:00.000,SÃO JOSÉ,C SANTA RITA,,"E/F AO 16º BATALHÃO DA PM, PROX. AO GRANDE ECIFE",COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0
6348,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,10:43:00.000,CASA AMARELA,EST DO ARRAIAL,3874,NO ESTACIONAMENTO DO BANCO SANTANDRE,COLISÃO,COL.S/V,2,,,,,,,,,0
6349,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,11:01:00.000,CURADO,BR 101 (DENTRO DA CEASA),62,EM AO COMERCIAL PITANGUEIRA,COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0
6350,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,11:10:00.000,ESPINHEIRO,RUA AFONSO BATISTA,78,RUA  DA DELEGACIA DO ESPINHEIRO,COLISÃO,COLISÃO SEM VITIMA,1,1,,,,,,,,0
6351,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,11:17:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO PAULO MIRANDA EMPREENDIMENTOS,COLISÃO,COLISÃO ENTRE UM CAMINHÃO E UMA MOTOCICLETA,,1,,,,,1,,,1
6352,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,12:05:00.000,BEBERIBE,AV BEBERIBE,,AO LADO DO ANTIGO EXTRABOM,COLISÃO,COLISÃO COM VT PM,2,,,,,,,,,0
6353,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,12:18:00.000,ÁGUA FRIA,AV BEBERIBE,2298,EM FRENTE AO SUPERMERCADO MELODIA,COLISÃO,ENTRE UMA  VIATURA E UM AUTO,1,,,,,,,1,,0
6354,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,12:24:00.000,BOA VIAGEM,RUA TENENTE DOMINGOS DE BRITO,111,PARADA 2 DO SHOPING RECIFE SAIDA RIBEIRO DE BRITO,COLISÃO,ENTRE UM ONIBUS E UM AUTO,1,,,,,1,,,,0
6355,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,12:39:00.000,SANTO AMARO,AV JOAO DE BARROS,651,"E/F CONSEVATÓRIO DE MÚSICA, ANEXO 2 DA ALEPE",COLISÃO,2 AUTOS,2,,,,,,,,,0
6356,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,12:52:00.000,MADALENA,AV JOSE GONCALVES DE MEDEIROS,84,APÓS O  EXTRA SUPERMERCADOS E/F A CARLITO´S BURGUER.,COLISÃO,2 AUTOS,2,,,,,,,,,0
6357,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,13:17:00.000,BAIRRO DO RECIFE,AV MARTIN LUTHER KING,,ESTACIONAMENTO DA PREFEITURA,COLISÃO,DOIS VEÍCULOS / GM  ANITA  PONTO FIXO  NO QTH,,,,,,,,,,0
6358,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,13:40:00.000,MADALENA,AV BEIRA RIO,1035,EM FRENTE AO COLEGIO EQUIPE,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6359,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,13:54:00.000,ILHA JOANA BEZERRA,VDO PAPA JOAO PAULO II,,SOBRE O VIADUTO  JOANA  BEZERRA / SENTIDO  BOA VIAGEM,COLISÃO,ONIBUS E AUTO,1,,,,,1,,,,0
6360,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,14:04:00.000,TORRE,RUA MARCOS ANDRE,,AO LADO DO CARREFOUR /  EM FRENTE AO POSTO SHELL,COLISÃO,DOIS AUTOS E UM VEÍCULO OFICIAL,3,,,,,,,,,0
6361,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,14:33:00.000,BEBERIBE,AV BEBERIBE,423,EM FRENTE A OPÇÃO MOVEIS,ATROPELAMENTO,ATROPELAMENTO,1,,,,,,,,,1
6362,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,14:37:00.000,SANTO AMARO,RUA TREZE DE MAIO,,EM FRENTE AO SESC,COLISÃO,MOTO E AUTO / SERGIO LUIS BT 05  NO QTH,1,1,,,,,,,,1
6363,COM VÍTIMA,EM ATENDIMENTO,2015-08-28T00:00:00,14:44:00.000,SÃO JOSÉ,RUA IMPERIAL,,CRUZAMENTO COM RUA BONSUCESSO,COLISÃO,COLISÃO ENTRE AUTO E MOTOCICLETA COM VÍTIMA,1,1,,,,,,,,1
6364,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,15:15:00.000,AFLITOS,"",,"","","",,,,,,,,,,0
6365,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,15:09:00.000,TAMARINEIRA,RUA CONEGO BARATA,,"",COLISÃO,ENTRE DOIS AUTOS,,,,,,,,,,0
6366,SEM VÍTIMA,EM ATENDIMENTO,2015-08-28T00:00:00,15:27:00.000,BOA VIAGEM,AV BOA VIAGEM,2900,EM FRENTE AO EDF ANTARES,COLISÃO,DOIS AUTOS /  GM JORGE LUIS NO QTH,2,,,,,,,,,0
6367,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,15:30:00.000,MADALENA,RUA JOSE OSORIO,116,EM FRENTE AO COLEGIO  CFI,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6368,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,16:01:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,1176,EM FRENTE A GALERIA VITRINE E TBM EM FRENTE AO EDF JARDIM CARIOCA,COLISÃO,COLISÃO ENTRE UM ONIBUS E UM AUTO,1,,,,,1,,,,0
6369,COM VÍTIMA,EM ATENDIMENTO,2015-08-28T00:00:00,15:57:00.000,CORDEIRO,RUA GOMES TABORDA,,SEGUNDA RUA A ESQUERDA APÓS VAREJÃO KENEDY,COLISÃO,COLISÃO ENTRE UM VEICULO E UMA MOTO,1,2,,,,,,,,1
6370,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,17:21:00.000,AFOGADOS,AV SUL,,EM FRENTE A ESTAÇAO LARGO DA PAZ,COLISÃO,ENTRE UM AUTO E UM CAMINHAO,1,,,,,,1,,,0
6371,SEM VÍTIMA,CANCELADA,2015-08-28T00:00:00,17:34:00.000,"","",,"",COLISÃO,"",1,,,,,1,,,,0
6372,SEM VÍTIMA,EM ATENDIMENTO,2015-08-28T00:00:00,17:47:00.000,BOA VIAGEM,AV BOA VIAGEM,6274,PROXIMO DO PARQUE DONA LINDU,COLISÃO,ENTRE UM ONIBUS E UM AUTO,1,,,,,1,,,,0
6373,SEM VÍTIMA,EM ATENDIMENTO,2015-08-28T00:00:00,18:35:00.000,JORDÃO,AV MARIA IRENE,,PROX A PRAÇA DO JORDÃO BAIXO E POSTO IPIRANGA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0
6374,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,19:21:00.000,BOA VIAGEM,RUA COSMORAMA,,ENFR AO POSTO BR E COLEGIO PRIMEIRO PASSOS,COLISÃO,VT DA POLICIA E AUTO,1,,,,,,,1,,0
6375,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,21:02:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,ENCIMA DA PONTE SENTIDO OLINDA,COLISÃO,TRES AUTO E UMA MOTO,3,1,,,,,,,,1
6376,SEM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,22:01:00.000,ENCRUZILHADA,RUA FERNANDO CESAR,,PROX AO PORTÃO DA ENTIGA TELPE E CRUZAMENTO DA AV NORTE,"",ONIBUS CAXANGA  E AUTO,1,,,,,1,,,,0
6377,COM VÍTIMA,FINALIZADA,2015-08-28T00:00:00,23:59:00.000,PARNAMIRIM,RUA SEBASTIAO MALTA ARCOVERDE,129,ANTES DO SHOPPÍNG PARNAMIRIM,COLISÃO,ENTRE UM AUTO E UMA MOTO COM VITIMA,1,1,,,,,,,,1
6378,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,01:04:00.000,JORDÃO,AV GOVERNADOR ROBERTO SILVEIRA,,"",COLISÃO,COLISAO ENTRE UM CAMINHAO E DOIS AUTOS,2,,,,,,1,,,0
6379,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,01:17:00.000,IPSEP,AV RECIFE,,NO CRUSAMENTO DA ENTRADA DO IBURA EM FRENTE A MARAVILHA MOTOS,COLISÃO,COLISAO ENTRE DOIS AUTOS,2,,,,,,,,,0
6380,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,02:03:00.000,BOA VIAGEM,RUA PROFESSOR AUGUSTO LINS E SILVA,,PROX AO VILA SETUBAL E PROX AO DONA LINDU,COLISÃO,COLISÃO ENTRE UM CAMINHAO E UM AUTO,1,,,,,,1,,,0
6381,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,02:42:00.000,IPUTINGA,AV CAXANGA,,EM FRENTE A DISNOVE NO POSTO BR SENTIDO SUBURBIO,COLISÃO,COLISAO SEM VITIMA ENTRE DOIS AUTOS,2,,,,,,,,,0
6382,SEM VÍTIMA,EM ATENDIMENTO,2015-08-29T00:00:00,05:21:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO BAR DO PAULINHO,COLISÃO,COLISAO SEM VITIMA ENTRE DOIS AUTOS,2,,,,,,,,,0
6383,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,05:30:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,AO LADO DO ARCADIA GOURMET,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6384,COM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,07:18:00.000,IPSEP,AV RECIFE,3009,PROX AO POSTO DE GASOLINA FEDERAL  SENTIDO ESTANCIA,COLISÃO,CHOQUE CONDUTOR BATEU CONTRA UM POSTE EM SEGUIDA CAPOTOU VITIMA SOCORRIDA PELOS OS PROPRIOS MORADORES,1,,,,,,1,,,1
6385,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,07:26:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,E/F  PADARIA CASA CARNE,COLISÃO,COLISÃO SEM VITIMAS  VT 11 QTH,1,,,,,1,,,,0
6386,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,07:49:00.000,ESTÂNCIA,AV DR JOSE RUFINO,,EM  BAIXO DO SEMAFORO 491  E/F A  IGREJA SANTA LUZIA,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
6387,COM VÍTIMA,CANCELADA,2015-08-29T00:00:00,08:45:00.000,IPUTINGA,AV CAXANGA,,EMBAIXO DO VIADUTO DA BR 101 SENTIDO CENTRO,ATROPELAMENTO,"ATROPELAMENTO DE PEDESTRE NA FAIXA DO BRT, O VEÍCULO SE ENCONTRA AO LADO DA IPUTINGA AUTO MOVEIS",1,,,,,,,,,1
6388,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,09:43:00.000,JARDIM SÃO PAULO,AV RECIFE,,semaforo 259 sent/justiça federal,COLISÃO,colisão sem vitima,2,,,,,,,,,0
6389,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,09:46:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,"E/F AO SPETTUS, SENTIDO BOA VIAGEM.",COLISÃO,SEM VÍTIMAS,1,,,,,1,,,,0
6390,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,10:24:00.000,AFLITOS,RUA AMELIA,,SEMAFORO 046,COLISÃO,COLISÃO SEM VITIMA,2,,,,,,,,,0
6391,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,10:52:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,SEMAFORO 286,COLISÃO,"COLISÃO SEM VITIMA ,VT32 CTTU NO LOCAL",1,,,,,,1,,,0
6392,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,11:34:00.000,TORRE,RUA VITORIANO PALHARES,,AO LADO DO ATACADO DOS PRESENTE,COLISÃO,COL.S/V SET/TORRE,2,,,,,,,,1,0
6393,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,11:46:00.000,BOA VIAGEM,RUA CARLOS PEREIRA FALCAO,465,EDF GORBEA,COLISÃO,"",1,,,,,,1,,,0
6394,COM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,12:29:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,SENTIDO AFOGADOS NO SEMÁFORO 534,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1
6395,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,12:39:00.000,BOA VIAGEM,RUA PADRE CARAPUCEIRO,,NA ENTRADA DO SHOPING RECIFE,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6396,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,13:02:00.000,MADALENA,RUA BENFICA,,E/F AO EXTRA,COLISÃO,2 AUTOS,2,,,,,,,,,0
6397,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,13:03:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,"ANTES DO HOSPITAL DA RESTAURAÇÃO SENTIDO BOA VIAGEM, NA LOCAL",COLISÃO,AUTO E ÔNIBUS,1,,,,,1,,,,0
6398,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,13:06:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,1043,"SENTIDO AFOGADOS, E/F A MEIRA LINS",COLISÃO,01 AUTO 01 ONIBUS,2,,,,,,,,,0
6399,SEM VÍTIMA,FINALIZADA,2015-08-29T00:00:00,13:06:00.000,MADALENA,RUA DEMOCRITO DE SOUZA FILHO,370,EM FRENTE A FACULDADE SANTA HELENA,COLISÃO,ENTRE DOIS AUTOS,2,,,,,,,,,0
6400,SEM VÍTIMA,CANCELADA,2015-08-29T00:00:00,13:11:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,"SENTIDO AFOGADOS, APOIS O SEMÁFORO 007 AO LADO DA DUCATI",COLISÃO,DOIS ÔNIBUS,,,,,,2,,,,0
6401,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,11:09:00.000,BOA VISTA,RUA AURORA,,EM BAIXO  DO SEMAFORO 162  E/F  AO RECIFE PLAZA HOTEL,COLISÃO,COLISÃO  SEM VITIMAS,2,,,,,,,,,0
6402,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,11:44:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,1318,AO LADO  DO  SUPERMERCADO  BOM PREÇO SENTIDO  OLINDA,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0
6403,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,12:47:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,168,COM A RUA FELIX DE BRITO EM FRENTE AO BRADESCO SENTIDO AV BOA VIAGEM,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6404,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,12:56:00.000,"","",,"","","",,,,,,,,,,0
6405,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,12:55:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,4264,S/T DERBY E/F DA CLINICA DE MAMA DO RECIFE SEMAFORO 417,COLISÃO,COLISAO DE ONIBUS E AUTO S/V,1,,,,,1,,,,0
6406,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,13:01:00.000,VÁRZEA,RUA ITAPEJARA,43,"APÓS MOTEL NINJA 1a A DIREITA, AO LADO DA CIA DA LIMPEZA.",COLISÃO,2 CAMINHÕES,,,,,,,2,,,0
6407,COM VÍTIMA,CANCELADA,2015-09-29T00:00:00,13:37:00.000,CASA FORTE,RUA VISCONDE DE OURO PRETO,,COLISAO DE MTO E AUTO COM UMA VITIMA,COLISÃO,AO LADO   DIREITO DA PRAÇA DE CASA FORTE,1,1,,,,,,,,1
6408,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,14:04:00.000,TEJIPIÓ,RUA AREALVA,46,E/F AO SEMARIO TEOLOGICO,COLISÃO,01 AUTO 01 ONIBUS,1,,,,,1,,,,0
6409,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,14:31:00.000,GUABIRABA,RUA SANTA TEREZA,,NA ENTRADA DO CORREGO DA BICA,COLISÃO,S/V ENTRE DOIS AUTOS,2,,,,,,,,,0
6410,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,14:35:00.000,BAIRRO DO RECIFE,CAIS DO APOLO,,EM FRENTE AO POSTO SHELL,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0
6411,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,14:44:00.000,SAN MARTIN,RUA ARSENIO CALACA,,APOS A PADARIA PARIS  NA RUA DO BPTRAN,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
6412,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,14:49:00.000,ALTO SANTA TERESINHA,AV ANIBAL BENEVOLO,,TERMINAL DO ÔNIBUS ALTO STA. TEREZINHA,COLISÃO,"",1,1,,,,,,,,0
6413,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,14:51:00.000,ARRUDA,RUA DA REGENERACAO,,SEMAFORO 536 EM FRENTE A PADARIA SANTO ANTONIO,COLISÃO,COLISÃO ENTRE DOIS AUTOS E UMA MOT,2,1,,,,,,,,0
6414,SEM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,15:35:00.000,BAIRRO DO RECIFE,AV MARQUES DE OLINDA,,SEMAFORO 165,COLISÃO,COLISÃO ENTRE ONIBUS E AUTO/ GCM ROLIM HT 995,1,,,,,1,,,,0
6415,COM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,15:39:00.000,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,C/ RUA DOS NAVEGANTES,COLISÃO,COLISÃO COM VÍTIMA NO AGUARDO DO SOCORRO,1,1,,,,,,,,1
6416,COM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,15:43:00.000,SANTO AMARO,RUA TREZE DE MAIO,,C/ RUA PEDRO AFONSO,COLISÃO,COLISÃO ENVOLVENDO AUTO E MOTO,1,1,,,,,,,,1
6417,COM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,15:47:00.000,SÃO JOSÉ,PRC DAS CINCO PONTAS,,"FORTE DAS 5 PONTAS, DESCIDA PARA O CAIS JOSÉ ESTELITA.",COLISÃO,01 AUTO 01 MOTO,1,1,,,,,,,,1
6418,COM VÍTIMA,CANCELADA,2015-09-29T00:00:00,16:03:00.000,CURADO,EST DO CURADO,114,NA ENTRADA DA VILA DO BANCARIO PROX DA DELEGACIA DE ROBOS E FURTOS,COLISÃO,COLISAO DE CAMINHAO E MOTO COM DUAS VITIMAS,,,,,,,,,,2
6419,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,17:23:00.000,TORRE,RUA REAL DA TORRE,440,POR TRAS DA FERREIRA COSTA E/F DO POSTO SHEL DESATIVADO,COLISÃO,COLISAO DE DOIS CAMINHOES S/V,,,,,,,2,,,0
6420,SEM VÍTIMA,CANCELADA,2015-09-29T00:00:00,17:46:00.000,CASA AMARELA,RUA DA HARMONIA,785,EM FRENTE A CASA DE FESTA DESCUBRA ESSE PLANETA,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
6421,COM VÍTIMA,FINALIZADA,2015-09-29T00:00:00,17:52:00.000,CAMPO GRANDE,RUA JERONIMO VILELA,,"SENTIDO ARRUDA, E/F AO ANTIGO OTO GEL, CHAMBARIL E FEIJOADA DO JOÃO.",COLISÃO,01 ONIBUS E 01 AUTO,1,,,,,1,,,,1
